task_id,all_correct,all_train_correct,partial_train_correct,any_train_correct,all_test_correct,partial_test_correct,any_test_correct,none_correct,total_programs
7837ac64,0,0,2,2,2,0,2,126,128
78e78cff,1,7,23,30,1,0,1,331,361
7c8af763,35,35,9,44,37,0,37,294,340
7d1f7ee8,2,2,5,7,2,0,2,109,116
7d419a02,0,0,0,0,0,0,0,120,120
7df24a62,0,0,5,5,0,0,0,136,141
85b81ff1,0,0,14,14,0,0,0,104,118
8719f442,0,0,0,0,0,0,0,406,406
890034e9,0,0,0,0,0,0,0,99,99
8a004b2b,0,0,0,0,0,0,0,169,169
8a6d367c,0,0,0,0,0,0,0,91,91
8cb8642d,0,0,0,0,0,0,0,117,117
8f2ea7aa,39,39,10,49,39,0,39,333,382
902510d5,0,0,6,6,0,0,0,117,123
93c31fbe,0,0,0,0,0,0,0,139,139
94133066,0,0,0,0,0,0,0,133,133
94be5b80,1,1,1,2,1,0,1,116,118
97239e3d,0,0,10,10,0,0,0,149,159
9772c176,0,0,0,0,0,0,0,134,134
97a05b5b,0,0,0,0,0,0,0,165,165
9841fdad,1,2,0,2,1,0,1,178,180
984d8a3e,0,1,6,7,0,0,0,368,375
985ae207,0,0,0,0,0,0,0,106,106
9aec4887,0,0,2,2,0,0,0,112,114
9b2a60aa,0,0,0,0,0,0,0,86,86
9b5080bb,0,0,0,0,0,0,0,123,123
9d9215db,2,4,7,11,5,0,5,97,108
9def23fe,4,4,28,32,4,0,4,106,138
9f41bd9c,1,10,65,75,1,0,1,80,155
a04b2602,0,0,0,0,0,0,0,178,178
a096bf4d,0,0,0,0,0,0,0,128,128
a57f2f04,6,6,1,7,6,0,6,140,147
a644e277,1,1,0,1,1,0,1,176,177
a64e4611,0,0,0,0,0,0,0,144,144
a8c38be5,0,0,0,0,0,0,0,258,258
a934301b,23,23,19,42,24,0,24,140,182
ac2e8ecf,0,0,0,0,0,0,0,112,112
afe3afe9,0,0,2,2,0,0,0,112,114
b1986d4b,0,0,0,0,0,0,0,147,147
b20f7c8b,0,0,0,0,0,0,0,100,100
b775ac94,0,0,0,0,0,0,0,137,137
b782dc8a,74,98,0,98,74,0,74,107,205
b7f8a4d8,0,0,0,0,0,0,0,164,164
b9630600,0,0,0,0,0,0,0,145,145
ba1aa698,0,0,1,1,0,0,0,175,176
bb52a14b,0,0,0,0,0,0,0,137,137
bd14c3bf,0,0,28,28,0,0,0,121,149
bf699163,0,6,199,205,129,0,129,99,430
c35c1b4c,0,0,7,7,0,0,0,348,355
c3fa4749,0,0,0,0,0,0,0,135,135
c62e2108,0,0,0,0,0,0,0,106,106
c64f1187,0,0,0,0,0,0,0,233,233
c920a713,0,0,0,0,0,0,0,104,104
cc9053aa,0,0,9,9,7,0,7,241,256
ce039d91,37,37,3,40,38,0,38,316,356
cf133acc,2,3,7,10,4,0,4,179,189
cfb2ce5a,1,1,15,16,1,0,1,308,324
d07ae81c,1,1,0,1,1,0,1,158,159
d255d7a7,0,0,5,5,0,0,0,172,177
d6542281,0,0,45,45,0,0,0,80,125
d749d46f,0,0,0,0,0,0,0,331,331
d753a70b,0,0,0,0,0,0,0,114,114
d94c3b52,0,0,0,0,0,0,0,82,82
db118e2a,0,0,2,2,0,0,0,222,224
db615bd4,0,0,0,0,0,0,0,133,133
de493100,0,0,0,0,0,0,0,130,130
e5c44e8f,0,0,16,16,0,0,0,271,287
e681b708,0,0,0,0,0,0,0,112,112
e729b7be,10,10,0,10,10,0,10,80,90
e734a0e8,0,0,16,16,0,0,0,112,128
e760a62e,0,0,0,0,0,0,0,87,87
edcc2ff0,0,0,0,0,0,0,0,137,137
f0100645,0,0,0,0,0,0,0,340,340
f21745ec,0,0,0,0,0,0,0,101,101
f28a3cbb,0,0,18,18,0,0,0,348,366
f35d900a,4,4,8,12,5,0,5,128,140
f8be4b64,0,0,0,0,0,0,0,167,167
f8c80d96,1,24,180,204,10,0,10,168,375
f8cc533f,0,0,97,97,0,1,1,80,177
f9a67cb5,0,0,0,0,0,0,0,251,251
f9d67f8b,0,0,0,0,0,0,0,157,157
fd096ab6,0,1,0,1,0,0,0,159,160
fd4b2b02,0,0,0,0,0,0,0,115,115
ff2825db,2,2,0,2,2,4,6,470,476
