task_id,total_tokens,system_tokens,user_tokens,templated_text_length,system_content_length,user_content_length,num_train_examples,num_test_examples,total_grid_cells,dataset,split
846bdb03,2618,26,2579,3861,129,3652,4,1,1003,arc-agi-1,all_training
855e0971,5087,26,5048,6383,129,6174,4,1,1999,arc-agi-1,all_training
85c4e7cd,2685,26,2646,3935,129,3726,4,1,884,arc-agi-1,all_training
868de0fa,6021,26,5982,7387,129,7178,5,1,2292,arc-agi-1,all_training
8731374e,4241,26,4202,5459,129,5250,3,1,1787,arc-agi-1,all_training
88a10436,1773,26,1734,2953,129,2744,3,1,544,arc-agi-1,all_training
88a62173,645,26,606,1779,129,1570,3,1,112,arc-agi-1,all_training
890034e9,7625,26,7586,8899,129,8690,3,1,3087,arc-agi-1,all_training
8a004b2b,4054,26,4015,5270,129,5061,3,1,1521,arc-agi-1,all_training
8be77c9e,637,26,598,1779,129,1570,3,1,90,arc-agi-1,all_training
8d5021e8,769,26,730,1923,129,1714,3,1,132,arc-agi-1,all_training
8d510a79,1629,26,1590,2751,129,2542,2,1,500,arc-agi-1,all_training
8e1813be,2484,26,2445,3671,129,3462,3,1,956,arc-agi-1,all_training
8e5a5113,945,26,906,2075,129,1866,3,1,231,arc-agi-1,all_training
8eb1be9a,2795,26,2756,3935,129,3726,2,1,992,arc-agi-1,all_training
8efcae92,4275,26,4236,5489,129,5280,3,1,1796,arc-agi-1,all_training
8f2ea7aa,1753,26,1714,2931,129,2722,3,1,567,arc-agi-1,all_training
90c28cc7,4072,26,4033,5273,129,5064,3,1,1783,arc-agi-1,all_training
90f3ed37,2921,26,2882,4147,129,3938,3,1,1050,arc-agi-1,all_training
913fb3ed,3449,26,3410,4711,129,4502,4,1,1200,arc-agi-1,all_training
91413438,3031,26,2992,4271,129,4062,4,1,819,arc-agi-1,all_training
91714a58,4625,26,4586,5859,129,5650,3,1,1792,arc-agi-1,all_training
9172f3a0,933,26,894,2031,129,1822,2,1,189,arc-agi-1,all_training
928ad970,3659,26,3620,4879,129,4670,3,1,1347,arc-agi-1,all_training
93b581b8,1009,26,970,2163,129,1954,3,1,252,arc-agi-1,all_training
941d9a10,2081,26,2042,3267,129,3058,3,1,700,arc-agi-1,all_training
94f9d214,953,26,914,2163,129,1954,4,1,224,arc-agi-1,all_training
952a094c,2081,26,2042,3267,129,3058,3,1,700,arc-agi-1,all_training
9565186b,623,26,584,1803,129,1594,4,1,81,arc-agi-1,all_training
95990924,3101,26,3062,4307,129,4098,3,1,1075,arc-agi-1,all_training
963e52fc,1329,26,1290,2475,129,2266,3,1,360,arc-agi-1,all_training
97999447,1775,26,1736,2953,129,2744,3,1,584,arc-agi-1,all_training
97a05b5b,3570,26,3531,4797,129,4588,3,1,1431,arc-agi-1,all_training
98cf29f8,4359,26,4320,5579,129,5370,3,1,1718,arc-agi-1,all_training
995c5fa3,1103,26,1064,2288,129,2079,4,1,316,arc-agi-1,all_training
99b1bc43,998,26,959,2213,129,2004,4,1,244,arc-agi-1,all_training
99fa7670,1159,26,1120,2367,129,2158,4,1,288,arc-agi-1,all_training
9aec4887,2659,26,2620,3849,129,3640,3,1,1042,arc-agi-1,all_training
9af7a82c,795,26,756,1991,129,1782,4,1,138,arc-agi-1,all_training
9d9215db,6329,26,6290,7587,129,7378,3,1,2527,arc-agi-1,all_training
9dfd6313,765,26,726,1907,129,1698,3,1,136,arc-agi-1,all_training
9ecd008a,2589,26,2550,3771,129,3562,3,1,1051,arc-agi-1,all_training
9edfc990,4145,26,4106,5371,129,5162,3,1,1556,arc-agi-1,all_training
9f236235,3338,26,3299,4531,129,4322,3,1,1413,arc-agi-1,all_training
a1570a43,1993,26,1954,3231,129,3022,4,1,664,arc-agi-1,all_training
a2fd1cf0,3383,26,3344,4587,129,4378,3,1,1274,arc-agi-1,all_training
a3325580,2121,26,2082,3461,129,3252,6,1,756,arc-agi-1,all_training
a3df8b1e,1033,26,994,2219,129,2010,3,1,230,arc-agi-1,all_training
a416b8f3,759,26,720,1897,129,1688,3,1,131,arc-agi-1,all_training
a48eeaf7,1629,26,1590,2751,129,2542,2,1,500,arc-agi-1,all_training
a5313dff,1875,26,1836,3055,129,2846,3,1,625,arc-agi-1,all_training
a5f85a15,1459,26,1420,2623,129,2414,3,1,362,arc-agi-1,all_training
a61ba2ce,1524,26,1485,2637,129,2428,2,1,539,arc-agi-1,all_training
a61f2674,1383,26,1344,2499,129,2290,2,1,405,arc-agi-1,all_training
a64e4611,15041,26,15002,16387,129,16178,3,1,6300,arc-agi-1,all_training
a65b410d,1507,26,1468,2675,129,2466,3,1,449,arc-agi-1,all_training
a68b268e,1918,26,1879,3247,129,3038,6,1,663,arc-agi-1,all_training
a699fb00,1767,26,1728,2943,129,2734,3,1,550,arc-agi-1,all_training
a740d043,794,26,755,1935,129,1726,3,1,183,arc-agi-1,all_training
a78176bb,2081,26,2042,3267,129,3058,3,1,700,arc-agi-1,all_training
a79310a0,757,26,718,1899,129,1690,3,1,143,arc-agi-1,all_training
a85d4709,623,26,584,1803,129,1594,4,1,81,arc-agi-1,all_training
a87f7484,942,26,903,2149,129,1940,4,1,225,arc-agi-1,all_training
a8c38be5,2242,26,2203,3377,129,3168,2,1,822,arc-agi-1,all_training
a8d7556c,5729,26,5690,6979,129,6770,3,1,2268,arc-agi-1,all_training
a9f96cdd,743,26,704,1923,129,1714,4,1,135,arc-agi-1,all_training
aabf363d,987,26,948,2091,129,1882,2,1,245,arc-agi-1,all_training
aba27056,1517,26,1478,2687,129,2478,3,1,432,arc-agi-1,all_training
ac0a08a4,1487,26,1448,2647,129,2438,3,1,378,arc-agi-1,all_training
ae3edfdc,4121,26,4082,5347,129,5138,3,1,1575,arc-agi-1,all_training
ae4f1146,1373,26,1334,2583,129,2374,4,1,441,arc-agi-1,all_training
aedd82e4,749,26,710,1939,129,1730,4,1,128,arc-agi-1,all_training
af902bf9,2081,26,2042,3267,129,3058,3,1,700,arc-agi-1,all_training
b0c4d837,1548,26,1509,2861,129,2652,6,1,493,arc-agi-1,all_training
b190f7f5,2005,26,1966,3179,129,2970,3,1,518,arc-agi-1,all_training
b1948b0a,697,26,658,1835,129,1626,3,1,124,arc-agi-1,all_training
b230c067,2081,26,2042,3267,129,3058,3,1,700,arc-agi-1,all_training
b27ca6d3,3591,26,3552,4747,129,4538,2,1,1292,arc-agi-1,all_training
b2862040,3905,26,3866,5181,129,4972,4,1,1434,arc-agi-1,all_training
b527c5c6,7413,26,7374,8743,129,8534,4,1,3000,arc-agi-1,all_training
b548a754,2765,26,2726,3967,129,3758,3,1,965,arc-agi-1,all_training
b60334d2,1383,26,1344,2499,129,2290,2,1,405,arc-agi-1,all_training
b6afb2da,1629,26,1590,2751,129,2542,2,1,500,arc-agi-1,all_training
b7249182,2989,26,2950,4201,129,3992,3,1,1071,arc-agi-1,all_training
b775ac94,8865,26,8826,10147,129,9938,3,1,3568,arc-agi-1,all_training
b782dc8a,3131,26,3092,4271,129,4062,2,1,1117,arc-agi-1,all_training
b8825c91,5713,26,5674,7023,129,6814,4,1,2304,arc-agi-1,all_training
b8cdaf2b,1227,26,1188,2435,129,2226,4,1,297,arc-agi-1,all_training
b91ae062,1669,26,1630,2935,129,2726,5,1,432,arc-agi-1,all_training
b94a9452,1885,26,1846,3059,129,2850,3,1,676,arc-agi-1,all_training
b9b7f026,2329,26,2290,3499,129,3290,3,1,935,arc-agi-1,all_training
ba26e723,1401,26,1362,2631,129,2422,5,1,405,arc-agi-1,all_training
ba97ae07,2121,26,2082,3365,129,3156,4,1,738,arc-agi-1,all_training
bb43febb,1629,26,1590,2751,129,2542,2,1,500,arc-agi-1,all_training
bbc9ae5d,987,26,948,2211,129,2002,5,1,184,arc-agi-1,all_training
bc1d5164,1017,26,978,2259,129,2050,5,1,255,arc-agi-1,all_training
bd4472b8,1005,26,966,2183,129,1974,3,1,212,arc-agi-1,all_training
bda2d7a6,1428,26,1389,2661,129,2452,3,2,372,arc-agi-1,all_training
bdad9b1f,825,26,786,1923,129,1714,2,1,180,arc-agi-1,all_training
be94b721,1272,26,1233,2474,129,2265,4,1,390,arc-agi-1,all_training
beb8660c,1231,26,1192,2399,129,2190,3,1,302,arc-agi-1,all_training
c0f76784,2801,26,2762,4003,129,3794,3,1,1008,arc-agi-1,all_training
c1d99e64,5841,26,5802,7083,129,6874,3,1,1977,arc-agi-1,all_training
c3e719e8,1153,26,1114,2307,129,2098,3,1,279,arc-agi-1,all_training
c3f564a4,4625,26,4586,5859,129,5650,3,1,1792,arc-agi-1,all_training
c444b776,4813,26,4774,5989,129,5780,2,1,1615,arc-agi-1,all_training
c59eb873,969,26,930,2117,129,1908,3,1,170,arc-agi-1,all_training
c8cbb738,2124,26,2085,3302,129,3093,3,1,781,arc-agi-1,all_training
c8f0f002,649,26,610,1779,129,1570,3,1,105,arc-agi-1,all_training
c909285e,6112,26,6073,7347,129,7138,3,1,2759,arc-agi-1,all_training
c9e6f938,625,26,586,1755,129,1546,3,1,90,arc-agi-1,all_training
c9f8e694,2169,26,2130,3303,129,3094,2,1,720,arc-agi-1,all_training
caa06a1f,2659,26,2620,3851,129,3642,3,1,766,arc-agi-1,all_training
cbded52d,1473,26,1434,2643,129,2434,3,1,448,arc-agi-1,all_training
cce03e0d,1153,26,1114,2307,129,2098,3,1,279,arc-agi-1,all_training
cdecee7f,1317,26,1278,2475,129,2266,3,1,427,arc-agi-1,all_training
ce22a75a,1383,26,1344,2499,129,2290,2,1,405,arc-agi-1,all_training
ce4f8723,998,26,959,2213,129,2004,4,1,244,arc-agi-1,all_training
ce602527,3726,26,3687,4985,129,4776,4,1,1585,arc-agi-1,all_training
ce9e57f2,1717,26,1678,2893,129,2684,3,1,531,arc-agi-1,all_training
cf98881b,1359,26,1320,2601,129,2392,5,1,416,arc-agi-1,all_training
d037b0a7,553,26,514,1683,129,1474,3,1,63,arc-agi-1,all_training
d06dbe63,2475,26,2436,3615,129,3406,2,1,845,arc-agi-1,all_training
d07ae81c,4303,26,4264,5535,129,5326,3,1,1565,arc-agi-1,all_training
d0f5fe59,1725,26,1686,2896,129,2687,3,1,609,arc-agi-1,all_training
d10ecb37,864,26,825,2008,129,1799,3,1,216,arc-agi-1,all_training
d13f3404,781,26,742,1923,129,1714,3,1,144,arc-agi-1,all_training
d22278a0,3551,26,3512,4819,129,4610,4,1,1213,arc-agi-1,all_training
d23f8c26,857,26,818,2003,129,1794,3,1,167,arc-agi-1,all_training
d2abd087,2081,26,2042,3267,129,3058,3,1,700,arc-agi-1,all_training
d364b489,1629,26,1590,2751,129,2542,2,1,500,arc-agi-1,all_training
d406998b,1245,26,1206,2425,129,2216,4,1,345,arc-agi-1,all_training
d43fd935,2081,26,2042,3267,129,3058,3,1,700,arc-agi-1,all_training
d4469b4b,1212,26,1173,2625,129,2416,7,2,288,arc-agi-1,all_training
d4a91cb9,2467,26,2428,3657,129,3448,3,1,836,arc-agi-1,all_training
d4f3cd78,1629,26,1590,2751,129,2542,2,1,500,arc-agi-1,all_training
d511f180,651,26,612,1787,129,1578,3,1,102,arc-agi-1,all_training
d5d6de2d,5176,26,5137,6481,129,6272,3,2,1575,arc-agi-1,all_training
d631b094,553,26,514,1723,129,1514,4,1,55,arc-agi-1,all_training
d687bc17,3245,26,3206,4451,129,4242,3,1,1134,arc-agi-1,all_training
d6ad076f,2081,26,2042,3267,129,3058,3,1,700,arc-agi-1,all_training
d89b689b,2081,26,2042,3267,129,3058,3,1,700,arc-agi-1,all_training
d8c310e9,1633,26,1594,2779,129,2570,3,1,525,arc-agi-1,all_training
