task_id,task_difficulty,avg_program_length,max_program_length,num_programs,min_program_length,length_ratio
7c008303,35.37,1379.34,3497,82,1384,0.9966329479768785
7ddcd7ec,39.39,1047.03,4222,212,1096,0.9553193430656934
7df24a62,30.0,2804.68,5007,50,3238,0.866176652254478
7e0986d6,47.07,1413.79,3034,216,705,2.005375886524823
7f4411dc,50.63,1157.78,3276,198,395,2.9310886075949365
7fe24cdd,50.55,748.21,1888,182,273,2.740695970695971
80af3007,29.26,1924.64,7320,182,1176,1.6365986394557823
810b9b61,44.65,1362.03,4478,229,441,3.088503401360544
82819916,29.52,970.82,4838,208,788,1.232005076142132
83302e8f,39.42,1956.58,4288,208,1525,1.2830032786885246
834ec97d,62.96,1044.44,2061,218,580,1.8007586206896553
8403a5d5,55.73,1758.66,3845,96,535,3.287214953271028
846bdb03,43.58,1781.29,3552,201,1582,1.1259734513274335
855e0971,44.15,1170.33,4636,106,847,1.3817355371900826
85c4e7cd,82.83,660.44,1834,233,405,1.6307160493827162
868de0fa,30.44,1669.53,3724,219,1247,1.3388372093023255
8731374e,44.74,1617.09,5719,209,1660,0.9741506024096385
88a10436,76.64,934.59,2813,214,1121,0.8337109723461196
88a62173,53.53,624.62,2864,234,106,5.892641509433962
890034e9,50.0,2438.8,6050,46,2487,0.9806192199437074
8a004b2b,41.67,2769.58,7794,24,2832,0.9779590395480225
8be77c9e,60.26,440.16,1844,151,73,6.029589041095891
8d5021e8,52.07,697.4,2196,217,245,2.846530612244898
8d510a79,84.31,1763.71,2623,17,1287,1.3704040404040405
8e1813be,65.19,1420.19,5545,242,1329,1.0686155003762228
8e5a5113,56.89,1324.45,2736,214,281,4.713345195729538
8eb1be9a,52.4,906.95,2167,250,336,2.6992559523809527
8efcae92,48.34,1279.65,3391,226,995,1.2860804020100502
8f2ea7aa,60.38,1696.02,3727,53,636,2.666698113207547
90c28cc7,55.6,1067.05,5620,250,394,2.708248730964467
90f3ed37,33.5,770.99,3334,203,1319,0.5845261561789235
913fb3ed,55.44,1106.8,2211,250,448,2.470535714285714
91413438,60.86,1634.82,4557,209,497,3.2893762575452716
91714a58,55.6,1075.93,2753,250,406,2.650073891625616
9172f3a0,63.81,1021.87,2854,222,191,5.350104712041885
928ad970,63.68,1146.75,3152,53,701,1.6358773181169757
93b581b8,76.85,2111.41,2385,216,1068,1.9769756554307114
941d9a10,46.18,930.3,3586,249,420,2.215
94f9d214,68.72,1233.78,3146,218,275,4.486472727272727
952a094c,78.45,1683.79,2315,232,826,2.0384866828087165
9565186b,67.84,628.21,1954,250,288,2.1812847222222222
95990924,58.93,1402.03,3256,154,483,2.902753623188406
963e52fc,42.23,576.37,1809,222,440,1.3099318181818183
97999447,52.06,725.94,1796,231,331,2.1931722054380667
97a05b5b,71.75,2298.54,6584,200,1852,1.2411123110151188
98cf29f8,76.08,1423.48,4278,209,1012,1.406600790513834
995c5fa3,49.78,1083.62,3187,223,579,1.87153713298791
99b1bc43,67.34,930.61,2752,79,333,2.7946246246246247
99fa7670,43.12,698.33,1395,250,371,1.8822911051212938
9aec4887,66.3,2500.81,5882,115,2674,0.9352318623784592
9af7a82c,54.83,823.95,2182,174,525,1.5694285714285716
9d9215db,39.73,1570.49,5862,73,2185,0.7187597254004576
9dfd6313,46.7,562.15,1320,250,65,8.648461538461538
9ecd008a,58.09,1046.08,2176,102,623,1.6791011235955056
9edfc990,49.87,1185.14,2809,186,571,2.075551663747811
9f236235,65.6,1329.83,6332,250,755,1.7613642384105959
a1570a43,48.51,1428.97,4376,195,1032,1.3846608527131783
a2fd1cf0,54.5,1186.77,2561,111,676,1.7555769230769231
a3325580,48.88,836.77,2719,230,587,1.4255025553662692
a3df8b1e,44.3,568.92,1711,228,394,1.443959390862944
a416b8f3,51.28,443.91,2070,196,59,7.523898305084746
a48eeaf7,85.71,1647.4,6477,63,705,2.3367375886524826
a5313dff,52.8,1220.94,2874,250,411,2.9706569343065694
a5f85a15,55.7,598.18,1663,250,206,2.90378640776699
a61ba2ce,52.86,1588.94,3033,210,1693,0.9385351447135263
a61f2674,56.43,1052.28,2287,153,783,1.3439080459770114
a64e4611,37.5,2671.5,3093,2,2250,1.1873333333333334
a65b410d,46.89,847.77,2192,161,597,1.4200502512562814
a68b268e,66.35,923.32,1821,76,397,2.325743073047859
a699fb00,52.3,921.32,2434,250,260,3.5435384615384615
a740d043,66.6,1129.41,2655,250,365,3.09427397260274
a78176bb,44.25,1224.71,3673,213,1129,1.0847741364038972
a79310a0,65.7,692.26,2452,250,176,3.9332954545454544
a85d4709,60.0,818.14,2059,250,246,3.325772357723577
a87f7484,74.4,970.63,3437,250,453,2.142671081677704
a8c38be5,65.45,2470.58,13173,137,3044,0.8116228646517739
a8d7556c,43.88,1124.98,2010,143,583,1.929639794168096
a9f96cdd,65.44,912.08,2797,250,420,2.1716190476190476
aabf363d,57.07,636.52,2254,250,216,2.946851851851852
aba27056,35.65,1421.71,2359,176,1848,0.7693235930735931
ac0a08a4,49.2,807.81,1980,250,485,1.6655876288659792
ae3edfdc,69.5,1675.98,4730,50,1043,1.6068839884947268
ae4f1146,47.04,910.27,3124,250,433,2.102240184757506
aedd82e4,53.76,704.28,1725,250,359,1.961782729805014
af902bf9,63.5,1273.59,3683,250,553,2.3030560578661845
b0c4d837,71.77,1233.67,2873,210,854,1.4445784543325528
b190f7f5,29.4,1233.23,6043,142,1472,0.8377921195652174
b1948b0a,57.7,748.11,2268,250,83,9.013373493975903
b230c067,69.85,1288.71,2263,233,873,1.4761855670103092
b27ca6d3,71.25,1263.69,2647,109,651,1.941152073732719
b2862040,28.25,1305.45,4409,211,480,2.7196875
b527c5c6,23.08,2247.31,4345,13,4093,0.5490618128512094
b548a754,59.21,1587.26,5688,152,788,2.0142893401015227
b60334d2,82.28,762.16,1454,79,435,1.7520919540229885
b6afb2da,81.82,1387.67,2564,88,732,1.8957240437158471
b7249182,55.38,3037.11,7826,79,2153,1.4106409660938226
b782dc8a,48.15,1458.83,3396,72,1216,1.1996957236842105
b8825c91,67.67,950.47,2230,227,219,4.340045662100457
b8cdaf2b,80.95,993.64,2457,210,615,1.6156747967479674
b91ae062,57.07,876.63,2260,250,318,2.756698113207547
b94a9452,80.0,1139.73,1839,250,530,2.150433962264151
b9b7f026,50.2,887.58,2407,250,198,4.482727272727273
ba26e723,50.82,711.98,1843,243,249,2.8593574297188757
ba97ae07,58.64,1200.03,4533,250,735,1.6326938775510205
bb43febb,76.52,870.23,2150,88,349,2.4934957020057307
bbc9ae5d,50.84,671.85,2115,218,446,1.506390134529148
bc1d5164,52.4,737.88,2214,250,266,2.773984962406015
bd4472b8,52.92,542.11,3081,171,201,2.6970646766169155
bda2d7a6,65.19,1087.92,3290,235,493,2.206734279918864
bdad9b1f,59.47,795.04,1972,250,545,1.458788990825688
be94b721,71.84,1501.84,3806,250,526,2.855209125475285
beb8660c,60.29,1181.15,2372,136,455,2.595934065934066
c0f76784,58.33,1792.68,3782,111,630,2.84552380952381
c1d99e64,65.8,883.75,2406,250,230,3.842391304347826
c3e719e8,67.79,1027.27,2819,222,461,2.228351409978308
c3f564a4,62.9,751.84,2724,250,257,2.9254474708171205
c444b776,37.78,755.42,2110,210,579,1.3046977547495682
c59eb873,47.9,597.73,2090,250,169,3.536863905325444
c8cbb738,75.96,1374.8,3667,208,1220,1.1268852459016394
c8f0f002,63.2,734.03,3040,250,92,7.978586956521739
c909285e,69.8,1416.64,3353,250,596,2.3769127516778523
c9e6f938,55.8,512.44,1354,250,140,3.6602857142857146
c9f8e694,74.14,596.23,2293,116,142,4.198802816901408
caa06a1f,74.88,806.92,2313,208,582,1.3864604810996564
cbded52d,31.04,636.93,2239,211,738,0.8630487804878048
cce03e0d,70.93,932.71,2062,221,315,2.960984126984127
cdecee7f,32.59,831.54,2027,214,498,1.6697590361445782
ce22a75a,77.64,698.76,1864,82,307,2.2760912052117264
ce4f8723,44.75,1015.08,2326,244,274,3.7046715328467155
ce602527,62.88,1536.31,3962,236,677,2.269290989660266
ce9e57f2,74.19,863.48,1586,31,415,2.080674698795181
cf98881b,35.45,736.72,2484,71,382,1.928586387434555
d037b0a7,46.5,537.02,1333,250,184,2.918586956521739
d06dbe63,76.92,2087.25,3542,65,1255,1.6631474103585657
d07ae81c,100.0,1726.5,2087,2,1366,1.2639092240117131
d0f5fe59,50.11,1070.54,2307,220,357,2.9987114845938376
d10ecb37,59.0,533.9,1829,250,58,9.205172413793104
d13f3404,65.22,597.85,1112,92,352,1.6984375
d22278a0,40.0,4029.79,7507,14,777,5.1863449163449165
d23f8c26,48.58,490.81,1405,247,199,2.4663819095477386
d2abd087,46.6,1164.08,3197,250,605,1.924099173553719
d364b489,85.07,676.6,1457,67,452,1.4969026548672566
d406998b,50.94,704.01,1743,212,393,1.7913740458015266
d43fd935,60.23,1419.04,3787,220,945,1.5016296296296296
d4469b4b,64.0,785.89,2319,250,495,1.5876565656565655
d4a91cb9,48.97,1145.98,2376,170,635,1.8046929133858267
d4f3cd78,57.94,1458.14,3015,107,1226,1.1893474714518761
d511f180,54.2,656.38,2109,250,160,4.102375
d5d6de2d,50.64,1298.36,3593,250,514,2.5259922178988323
d631b094,53.04,491.41,1541,250,113,4.348761061946903
d687bc17,72.08,1856.22,3035,77,1000,1.85622
d6ad076f,43.53,1133.36,7709,232,875,1.2952685714285712
d89b689b,60.86,1241.0,4664,145,711,1.7454289732770745
d8c310e9,42.86,568.42,3027,210,691,0.8226049204052098
d90796e8,49.6,862.09,2212,250,443,1.9460270880361175
d9f24cd1,94.87,931.69,1405,13,554,1.6817509025270758
d9fac9be,57.52,879.84,2524,250,247,3.562105263157895
dae9d2b5,47.31,539.98,1684,250,236,2.2880508474576273
db3e9e38,57.72,992.37,2204,82,450,2.2052666666666667
db93a21d,22.81,1751.2,4206,128,1759,0.9955656623081296
dbc1a6ce,57.96,1202.94,3013,157,491,2.449979633401222
dc0a314f,61.81,1034.92,1829,36,727,1.4235488308115545
dc1df850,80.0,892.21,1321,250,367,2.4310899182561307
dc433765,60.27,1108.12,3803,250,488,2.2707377049180324
ddf7fa4f,63.82,1553.54,3235,123,723,2.148741355463347
de1cd16c,61.68,698.56,2223,250,396,1.7640404040404039
ded97339,68.64,1054.69,2534,110,560,1.883375
e179c5f4,56.74,721.2,1667,215,606,1.1900990099009903
e21d9049,70.72,2303.27,5265,74,1225,1.8802204081632652
e26a3af2,61.3,865.94,2692,250,476,1.819201680672269
e3497940,75.9,577.4,1390,83,213,2.710798122065728
e40b9e2f,40.72,1088.84,5189,202,1932,0.5635817805383022
e48d4e1a,68.38,1154.32,2373,210,546,2.114139194139194
e5062a87,25.68,845.76,2344,185,883,0.9578255945639864
e509e548,29.53,1069.85,3742,204,2089,0.5121349928195308
e50d258f,60.41,1187.19,3095,233,833,1.4251980792316927
e6721834,61.75,2876.13,3998,200,2069,1.3901063315611406
e73095fd,32.75,1627.0,3319,71,1283,1.2681215900233826
e76a88a6,71.01,2259.75,3486,230,849,2.661660777385159
e8593010,77.22,1205.61,2045,79,706,1.7076628895184134
e8dc4411,33.71,1319.93,3800,201,3800,0.34735
e9614598,77.41,900.69,2066,83,511,1.7626027397260275
e98196ab,49.42,894.64,3469,217,222,4.02990990990991
e9afcf9a,79.17,451.3,1302,88,148,3.049324324324324
ea32f347,44.79,1195.54,2950,234,482,2.480373443983402
ea786f4a,43.4,604.54,2096,250,208,2.9064423076923074
eb281b96,73.33,597.98,1411,250,382,1.5653926701570682
eb5a1d5d,74.48,1538.44,4483,239,514,2.99307392996109
ec883f72,75.22,1044.99,4937,209,1431,0.7302515723270441
ecdecbb3,56.06,3669.18,10028,33,1270,2.8891181102362204
ed36ccf7,65.68,814.32,2783,250,94,8.662978723404256
ef135b50,43.21,1399.65,4907,221,659,2.123899848254932
f15e1fac,45.41,2371.29,5674,49,2493,0.951179302045728
f1cefba8,50.0,3393.75,5943,8,2099,1.6168413530252501
f25fbde4,55.2,1331.95,3134,250,322,4.136490683229813
f25ffba3,67.45,660.78,2100,128,91,7.261318681318681
f2829549,50.78,1735.42,5020,213,232,7.480258620689655
f35d900a,47.06,2612.18,5730,34,1634,1.598641370869033
f5b8619d,76.3,1236.36,1785,211,755,1.6375629139072847
f76d97a5,64.3,900.26,2821,250,221,4.073574660633484
f8a8fe49,60.16,1552.98,3845,96,1069,1.4527408793264733
f8b3ba0a,40.56,1099.87,3234,250,286,3.8456993006993003
f8c80d96,44.91,2401.43,4627,54,3343,0.7183457971881543
f8ff0b80,50.3,852.53,4005,250,289,2.949930795847751
f9012d9b,58.61,706.18,4775,212,972,0.7265226337448559
fafffa47,36.3,555.72,1530,230,266,2.0891729323308272
fcb5c309,43.09,1643.9,3850,199,1093,1.5040256175663314
fcc82909,33.54,1118.44,2408,41,807,1.3859231722428749
feca6190,46.02,633.84,1363,218,341,1.858768328445748
ff28f65a,60.07,1358.56,4639,250,420,3.2346666666666666
ff805c23,50.22,1643.24,4749,112,687,2.3919068413391558
